state,year,month,district,type,count,amount,source_path
Andaman & Nicobar Islands,2021,4,south andaman district,TOTAL,558571,1694794708.0093334,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2021\4.json
Andaman & Nicobar Islands,2021,4,nicobars district,TOTAL,24437,81329281.0269996,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2021\4.json
Andaman & Nicobar Islands,2022,1,north and middle andaman district,TOTAL,60059,161624878.52274162,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2022\1.json
Andaman & Nicobar Islands,2022,1,south andaman district,TOTAL,705512,1872991195.902684,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2022\1.json
Andaman & Nicobar Islands,2022,1,nicobars district,TOTAL,29177,94414127.64974089,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2022\1.json
Andaman & Nicobar Islands,2022,2,north and middle andaman district,TOTAL,72573,195693167.78757268,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2022\2.json
Andaman & Nicobar Islands,2022,2,south andaman district,TOTAL,954875,2357326563.362071,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2022\2.json
Andaman & Nicobar Islands,2022,2,nicobars district,TOTAL,43769,132900618.93062323,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2022\2.json
Andaman & Nicobar Islands,2022,3,north and middle andaman district,TOTAL,79574,211581970.34202656,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2022\3.json
Andaman & Nicobar Islands,2022,3,south andaman district,TOTAL,1455255,2967719400.849909,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2022\3.json
Andaman & Nicobar Islands,2022,3,nicobars district,TOTAL,49550,131330400.94545083,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2022\3.json
Andaman & Nicobar Islands,2022,4,north and middle andaman district,TOTAL,93297,241431284.3558103,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2022\4.json
Andaman & Nicobar Islands,2022,4,south andaman district,TOTAL,1835592,3600887266.099448,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2022\4.json
Andaman & Nicobar Islands,2022,4,nicobars district,TOTAL,58646,142355853.97352526,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2022\4.json
Andaman & Nicobar Islands,2023,1,north and middle andaman district,TOTAL,152187,392080332.0,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2023\1.json
Andaman & Nicobar Islands,2023,1,south andaman district,TOTAL,2030078,3867385426.0,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2023\1.json
Andaman & Nicobar Islands,2023,1,nicobars district,TOTAL,94127,202062829.0,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2023\1.json
Andaman & Nicobar Islands,2023,2,north and middle andaman district,TOTAL,181149,462414675.0,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2023\2.json
Andaman & Nicobar Islands,2023,2,south andaman district,TOTAL,2417058,4297737197.0,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2023\2.json
Andaman & Nicobar Islands,2023,2,nicobars district,TOTAL,109568,230192364.0,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2023\2.json
Andaman & Nicobar Islands,2023,3,north and middle andaman district,TOTAL,198547,495623030.0,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2023\3.json
Andaman & Nicobar Islands,2023,3,south andaman district,TOTAL,2771397,4462201588.0,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2023\3.json
Andaman & Nicobar Islands,2023,3,nicobars district,TOTAL,128432,253772173.0,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2023\3.json
Andaman & Nicobar Islands,2023,4,north and middle andaman district,TOTAL,230234,540759631.0,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2023\4.json
Andaman & Nicobar Islands,2023,4,south andaman district,TOTAL,3311962,5417264997.0,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2023\4.json
Andaman & Nicobar Islands,2023,4,nicobars district,TOTAL,153587,311527871.0,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2023\4.json
Andaman & Nicobar Islands,2024,1,north and middle andaman district,TOTAL,266400,601756070.0,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2024\1.json
Andaman & Nicobar Islands,2024,1,south andaman district,TOTAL,3751724,5952049462.0,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2024\1.json
Andaman & Nicobar Islands,2024,1,nicobars district,TOTAL,166796,305346303.0,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2024\1.json
