state,year,month,registered_users,app_opens,source_path
Assam,2023,3,5998586,962849913,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2023\3.json
Assam,2023,4,6234780,558041955,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2023\4.json
Assam,2024,1,6510156,1381009332,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2024\1.json
Assam,2024,2,6767874,1728273868,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2024\2.json
Assam,2024,3,10098778,855216106,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2024\3.json
Assam,2024,4,10480927,775169459,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\assam\2024\4.json
Bihar,2018,1,2133804,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2018\1.json
Bihar,2018,2,3005872,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2018\2.json
Bihar,2018,3,3784535,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2018\3.json
Bihar,2018,4,4776665,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2018\4.json
Bihar,2019,1,5745117,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2019\1.json
Bihar,2019,2,6589759,39607022,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2019\2.json
Bihar,2019,3,7380265,126521298,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2019\3.json
Bihar,2019,4,8342274,163998097,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2019\4.json
Bihar,2020,1,9351234,183868505,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2020\1.json
Bihar,2020,2,10603767,218435035,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2020\2.json
Bihar,2020,3,11763213,266652644,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2020\3.json
Bihar,2020,4,12889833,317056600,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2020\4.json
Bihar,2021,1,13946288,355792608,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2021\1.json
Bihar,2021,2,14972134,371198660,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2021\2.json
Bihar,2021,3,16160771,421801379,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2021\3.json
Bihar,2021,4,17335981,647400838,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2021\4.json
Bihar,2022,1,18484658,316991599,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2022\1.json
Bihar,2022,2,19569894,348588438,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2022\2.json
Bihar,2022,3,20694376,336807385,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2022\3.json
Bihar,2022,4,21738117,834827202,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2022\4.json
Bihar,2023,1,22796011,455886560,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2023\1.json
Bihar,2023,2,23781971,556071386,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2023\2.json
Bihar,2023,3,24776510,623923391,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2023\3.json
Bihar,2023,4,25695856,1822737403,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2023\4.json
Bihar,2024,1,26765201,945228349,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2024\1.json
Bihar,2024,2,27786576,1034146507,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2024\2.json
Bihar,2024,3,31899315,692875087,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2024\3.json
Bihar,2024,4,33345285,2527843258,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\bihar\2024\4.json
Chandigarh,2018,1,86268,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2018\1.json
Chandigarh,2018,2,115219,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2018\2.json
Chandigarh,2018,3,143893,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2018\3.json
Chandigarh,2018,4,177747,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2018\4.json
Chandigarh,2019,1,209175,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2019\1.json
Chandigarh,2019,2,240439,1220176,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2019\2.json
Chandigarh,2019,3,267337,4625196,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2019\3.json
Chandigarh,2019,4,289590,4960441,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2019\4.json
Chandigarh,2020,1,312887,5201211,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2020\1.json
Chandigarh,2020,2,336351,3451250,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2020\2.json
Chandigarh,2020,3,362588,4888739,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2020\3.json
Chandigarh,2020,4,391402,6477974,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2020\4.json
Chandigarh,2021,1,419998,7919533,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2021\1.json
Chandigarh,2021,2,448572,4733924,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2021\2.json
Chandigarh,2021,3,480463,6378807,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2021\3.json
Chandigarh,2021,4,512092,11603954,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2021\4.json
Chandigarh,2022,1,541549,2321685,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2022\1.json
Chandigarh,2022,2,569582,2285979,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2022\2.json
Chandigarh,2022,3,598698,2173356,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2022\3.json
Chandigarh,2022,4,627563,15308862,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2022\4.json
Chandigarh,2023,1,654522,2001065,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2023\1.json
Chandigarh,2023,2,678662,1978988,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2023\2.json
Chandigarh,2023,3,704144,1924922,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2023\3.json
Chandigarh,2023,4,727594,35719991,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2023\4.json
Chandigarh,2024,1,754849,2680802,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2024\1.json
Chandigarh,2024,2,782791,3351127,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2024\2.json
Chandigarh,2024,3,700398,3757821,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2024\3.json
Chandigarh,2024,4,721216,37265017,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chandigarh\2024\4.json
Chhattisgarh,2018,1,679263,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2018\1.json
Chhattisgarh,2018,2,950675,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2018\2.json
Chhattisgarh,2018,3,1217792,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2018\3.json
Chhattisgarh,2018,4,1579998,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2018\4.json
Chhattisgarh,2019,1,1908898,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2019\1.json
Chhattisgarh,2019,2,2191066,13206373,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2019\2.json
Chhattisgarh,2019,3,2435058,46362341,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2019\3.json
Chhattisgarh,2019,4,2725900,57278977,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2019\4.json
Chhattisgarh,2020,1,3016487,64224101,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2020\1.json
Chhattisgarh,2020,2,3401658,68493384,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2020\2.json
Chhattisgarh,2020,3,3799386,86918606,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2020\3.json
Chhattisgarh,2020,4,4190601,109900467,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2020\4.json
Chhattisgarh,2021,1,4514551,124648704,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2021\1.json
Chhattisgarh,2021,2,4837055,205784717,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2021\2.json
Chhattisgarh,2021,3,5206084,276486076,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2021\3.json
Chhattisgarh,2021,4,5565481,251752583,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2021\4.json
Chhattisgarh,2022,1,5916961,448503438,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2022\1.json
Chhattisgarh,2022,2,6238349,501411120,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2022\2.json
Chhattisgarh,2022,3,6562237,543206487,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2022\3.json
Chhattisgarh,2022,4,6846822,354976814,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2022\4.json
Chhattisgarh,2023,1,7159660,678798431,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2023\1.json
Chhattisgarh,2023,2,7469508,749111705,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2023\2.json
Chhattisgarh,2023,3,7779977,951586898,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2023\3.json
Chhattisgarh,2023,4,8057016,545124233,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2023\4.json
Chhattisgarh,2024,1,8394140,1290951432,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2024\1.json
Chhattisgarh,2024,2,8704757,1483224382,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2024\2.json
Chhattisgarh,2024,3,10290502,1469220234,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2024\3.json
Chhattisgarh,2024,4,10651135,869239311,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\chhattisgarh\2024\4.json
Dadra & Nagar Haveli & Daman & Diu,2018,1,53258,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2018\1.json
Dadra & Nagar Haveli & Daman & Diu,2018,2,71458,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2018\2.json
Dadra & Nagar Haveli & Daman & Diu,2018,3,92107,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2018\3.json
Dadra & Nagar Haveli & Daman & Diu,2018,4,116511,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2018\4.json
Dadra & Nagar Haveli & Daman & Diu,2019,1,140532,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2019\1.json
Dadra & Nagar Haveli & Daman & Diu,2019,2,158580,860686,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2019\2.json
Dadra & Nagar Haveli & Daman & Diu,2019,3,176929,3126189,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2019\3.json
Dadra & Nagar Haveli & Daman & Diu,2019,4,197598,3770543,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2019\4.json
Dadra & Nagar Haveli & Daman & Diu,2020,1,218496,4195122,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2020\1.json
Dadra & Nagar Haveli & Daman & Diu,2020,2,244814,4505127,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2020\2.json
Dadra & Nagar Haveli & Daman & Diu,2020,3,267946,4421499,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2020\3.json
